,current_day,clound_min,clound_max,clound_std,clound_median
0,2019-1-1,1.0,4.0,1.3568010505999362,1.0
1,2019-1-2,1.0,4.0,1.403458930534474,1.5
2,2019-1-3,1.0,4.0,1.4354811251305468,3.0
3,2019-1-4,1.0,4.0,1.4354811251305468,3.0
4,2019-1-5,1.0,4.0,1.4770978917519928,1.0
5,2019-1-6,1.0,4.0,1.3113721705515065,1.0
6,2019-1-7,1.0,4.0,1.337115846843043,1.0
7,2019-1-8,1.0,4.0,1.2792042981336627,1.5
8,2019-1-9,1.0,4.0,1.3568010505999362,2.0
9,2019-1-10,1.0,4.0,1.4354811251305468,3.0
10,2019-1-11,1.0,4.0,1.3113721705515065,1.0
11,2019-1-12,1.0,4.0,1.337115846843043,1.0
12,2019-1-13,1.0,4.0,1.3113721705515065,1.0
13,2019-1-14,1.0,4.0,1.2401124093721454,2.0
14,2019-1-15,1.0,4.0,1.497472618255253,1.5
15,2019-1-16,1.0,4.0,1.5666989036012806,2.5
16,2019-1-17,1.0,4.0,1.3026778945578592,2.0
17,2019-1-18,1.0,4.0,1.2792042981336627,4.0
18,2019-1-19,1.0,4.0,1.5447859516333116,4.0
19,2019-1-20,1.0,4.0,1.4433756729740645,1.0
20,2019-1-21,1.0,4.0,1.4770978917519928,4.0
21,2019-1-22,1.0,4.0,1.337115846843043,1.0
22,2019-1-23,1.0,4.0,0.9045340337332909,1.0
23,2019-1-24,1.0,4.0,1.5447859516333116,1.0
24,2019-1-25,1.0,4.0,1.4770978917519928,1.0
25,2019-1-26,1.0,4.0,1.337115846843043,1.0
26,2019-1-27,1.0,4.0,1.1934162828797101,2.0
27,2019-1-28,1.0,4.0,1.1381803659589922,2.0
28,2019-1-29,1.0,4.0,1.3568010505999362,3.0
29,2019-1-30,1.0,4.0,1.1934162828797101,2.0
30,2019-1-31,1.0,2.0,0.45226701686664544,1.0
31,2019-2-1,1.0,4.0,0.8876253645985944,1.5
32,2019-2-2,1.0,2.0,0.49236596391733095,1.0
33,2019-2-3,1.0,4.0,1.2673044646258473,3.0
34,2019-2-4,1.0,4.0,1.2154310870109943,4.0
