,current_day,cloud,temp_max,temp_min
257,2019-9-15,mostly sunny,29°,12°
258,2019-9-16,mostly sunny,28°,13°
259,2019-9-17,cloudy,22°,14°
260,2019-9-18,mostly sunny,20°,9°
261,2019-9-19,mostly sunny,19°,9°
262,2019-9-20,mostly sunny,21°,5°
263,2019-9-21,mostly sunny,24°,5°
264,2019-9-22,mostly sunny,25°,8°
265,2019-9-23,cloudy,21°,14°
266,2019-9-24,mostly sunny,18°,8°
267,2019-9-25,cloudy,18°,13°
268,2019-9-26,cloudy,20°,14°
269,2019-9-27,cloudy,18°,15°
270,2019-9-28,mostly cloudy,20°,13°
271,2019-9-29,mostly sunny,24°,10°
272,2019-9-30,cloudy,20°,10°
273,2019-10-1,cloudy,23°,9°
274,2019-10-2,cloudy,17°,9°
275,2019-10-3,mostly sunny,16°,4°
276,2019-10-4,cloudy,16°,8°
277,2019-10-5,cloudy,15°,10°
278,2019-10-6,cloudy,15°,9°
279,2019-10-7,cloudy,15°,8°
280,2019-10-8,cloudy,18°,11°
281,2019-10-9,cloudy,15°,9°
282,2019-10-10,mostly cloudy,17°,9°
283,2019-10-11,mostly sunny,21°,7°
284,2019-10-12,mostly sunny,22°,11°
285,2019-10-13,mostly sunny,28°,15°
286,2019-10-14,mostly sunny,26°,12°
287,2019-10-15,scattered showers,18°,11°
288,2019-10-16,mostly sunny,20°,10°
289,2019-10-17,cloudy,20°,11°
290,2019-10-18,cloudy,18°,12°
291,2019-10-19,scattered showers,15°,12°
292,2019-10-20,cloudy,19°,12°
293,2019-10-21,scattered showers,16°,13°
294,2019-10-22,cloudy,16°,11°
295,2019-10-23,cloudy,14°,10°
296,2019-10-24,foggy,20°,12°
297,2019-10-25,mostly sunny,20°,9°
298,2019-10-26,mostly sunny,21°,6°
299,2019-10-27,mostly sunny,20°,8°
300,2019-10-28,cloudy,11°,8°
301,2019-10-29,cloudy,9°,6°
302,2019-10-30,cloudy,11°,5°
303,2019-10-31,cloudy,11°,4°
304,2019-11-1,cloudy,13°,7°
305,2019-11-2,mostly cloudy,19°,13°
306,2019-11-3,cloudy,15°,11°
307,2019-11-4,cloudy,16°,9°
308,2019-11-5,cloudy,13°,5°
309,2019-11-6,cloudy,12°,6°
